Name ,Cuisine ,Delivery,Takeout,Cost,Google/ Yelp Reviews,Within 1.5 mile radius
1 Tippling Place,Cocktails,No,No,$$,4.4,
1-900-ICE-CREAM,Ice Cream,Yes,Yes,$,4.3,
12 Steps Down,Dive Bar,No,Yes,$,4.3,
48 Record Bar,Cocktails,No,No,$$$,3.8,
Abyssinia Bar and Restaurant,Ethiopian,Yes,Yes,$,3.9,
Aki Nom Nom Sushi and Ramen ,Japanese,Yes,Yes,$$,4.8,
Almaz Café,Ethiopian,Yes,Yes,$,4.6,
Almyra,Mediterranean,No,Yes,$,4.3,
Alpen Rose,Steakhouse ,No,Yes,$$$,4.2,
Alyan's Middle Eastern,Mediterranean,Yes,Yes,$,4.5,
Amada ,Spanish,Yes,Yes,$$$,4.4,
Ambrosia Ristorante BYOB,Italian ,No,Yes,$$,4.4,
American Sardine Bar,Gastropub,Yes,Yes,$$,3.9,
Amma's South Indian Cuisine,Indian,Yes,Yes,$$,4.4,
Andra Hem,Cocktails,No,No,$$,4.2,
Anejo Philadelphia,Mexican,Yes,Yes,$$,4.3,
Angelo's Pizzeria,Cheesesteaks,No,Yes,$,3.9,
Antonio's Deli,Sandwiches,Yes,Yes,$,4.4,
Ants Pants Cafe,Breakfast/Brunch,Yes,Yes,$$,4.2,
Artisan Boulanger Patissier,Bakery,No,Yes,$,4.1,
Asad's Hot Chicken,Fast Food,Yes,Yes,$,4.1,
Assembly Rooftop Lounge,Cocktails,No,Yes,$$,4.2,
Attico Rooftop,Cocktails,No,Yes,$$$,4,
Ba Le Bakery,Vietnamese,Yes,Yes,$,4,
Bad Brother,American,No,Yes,$$$,3.9,
Bake n' bacon Philadelphia,American,Yes,Yes,$$,4.2,
Bank & Bourbon,American,No,Yes,$$$,3.9,
Bar 1010,Pizza,Yes,Yes,$$,4.3,
Bar Bombon,Vegan,Yes,Yes,$$,3.9,
Bar Jawn,Dive Bar,No,Yes,$,4.5,
Barbuzzo,Mediterranean,Yes,Yes,$$,4,
Barcade,Dive Bar,No,Yes,$$,4.3,
Barceolna Wine Bar,Spanish,No,Yes,$$,4.1,
Bart's Bagels,Bakery,Yes,Yes,$,3.9,
Bart's South Philly,Bakery,Yes,Yes,$,4.1,
Beiler's Bakery,Breakfast/Brunch,Yes,Yes,$,4.5,
Bella Vista Beverage,Beer Store,Yes,Yes,$,3.9,
Bing Bing Dim Sum ,Chinese,Yes,Yes,$$,4.3,
Bistro La Baia BYOB,Italian ,Yes,Yes,$$,4,
Bistro SouthEast,Vietnamese,Yes,Yes,$$,4,
Black Cat Tavern on 12th,Dive Bar,No,No,$$,4.1,
Black Taxi,Dive Bar,No,Yes,$$,3.9,
Blind Barber,Cocktails,No,No,$$,4.6,
Bloomdsday Wine Pub,American,Yes,Yes,$$,4.5,
Bob and Barbara's Lounge,Dive Bar,No,No,$,4.6,
Bok Bar,Cocktails,No,No,$$,4.5,
Bolo,Latin,No,Yes,$$$,4,
Bonnie's Capistrano Bar,Dive Bar,No,No,$,4.2,
Bower Cafe 1213 ,Coffeeshop,No,Yes,$$,4.6,
Brazas BBQ Chicken,Peurvian ,Yes,Yes,$,4.1,
Breakfast Den ,Breakfast/Brunch,Yes,Yes,$,3.9,
Broad Street Diner,Breakfast/Brunch,Yes,Yes,$,2.2,
Bud & Marilyn's ,American,Yes,Yes,$$,4.1,
Buddakan,Asian ,Yes,Yes,$$$,4,
Burrarta ,Italian ,No,Yes,$$,4.2,
Butcher Bar,Gastropub,Yes,Yes,$$,4.2,
Cafe La Maude,Breakfast/Brunch,Yes,Yes,$$,4.3,
Cafe Walnut,Coffeeshop,No,Yes,$,4.1,
Cafe y Choclate,Mexican,Yes,Yes,$$,4,
Carangi Baking Comapny,Bakery,Yes,Yes,$,4.5,
Casa Mexico,Mexican,Yes,Yes,$$,4.2,
Charlie was a sinner,Vegan,Yes,Yes,$$$,4.2,
Circles and Square,Pizza,No,Yes,$$,4.2,
Circles Thai,Thai,Yes,Yes,$$,4,
Clarkville ,Pizza,Yes,Yes,$$,4.4,
Cleavers,Cheesesteaks,Yes,Yes,$$,4.6,
Comfort & Floyd,Breakfast/Brunch,No,Yes,$$,4.2,
Cosmi's Deli,Sandwiches,Yes,Yes,$,3.9,
Crunchik'n,Asian ,Yes,Yes,$,4,
Cuba Libre Restauraunt ,Cuban,Yes,Yes,$$,3.9,
Curiosity Doughnuts,Bakery,No,Yes,$$,4.3,
D'Emilio's Old World Ice Treats,Ice Cream,Yes,Yes,$,4.6,
Dalessandro's Steaks,Cheesesteaks,No,Yes,$,4.3,
Dan Dan Rittenhouse,Chinese,Yes,Yes,$$,4.1,
Dante & Luigis ,Italian,No,Yes,$$$,4.1,
Darling Jack's Tavern,Gastropub,Yes,Yes,$$,4,
Dasiwa,Japanese,Yes,Yes,$$,4.3,
David's Mai Lai Wah ,Chinese,No,Yes,$$,4.2,
"Dear, Lunchbox",Sandwiches,Yes,Yes,$,4,
Deke's BBQ,Barbeque,Yes,Yes,$$,4.3,
Del Frisco's Double Eagle Steakhouse,Steakhouse ,Yes,Yes,$$$$,4.5,
Devon Seafood Grill,American,Yes,Yes,$$$,4.6,
Dibbs BBQ,Barbeque,No,Yes,$$,4.5,
Dim Sum Garden ,Chinese,Yes,Yes,$,4.5,
Dim Sum House by Jane G's,Chinese,Yes,Yes,$$,4.2,
DiNic's Pork & Beef,Sandwiches,Yes,Yes,$,4.4,
Dizengoff,Mediterranean,No,Yes,$,4.2,
Don Barriga ,Mexican,Yes,Yes,$$,4.1,
Donkey's Place,Cheesesteaks,No,Yes,$,4.1,
Doro Bet ,Ethiopian,Yes,Yes,$,4.4,
Double Knot,Japanese,No,Yes,$$,4.6,
Down Home Diner,Breakfast/Brunch,Yes,Yes,$,4.1,
Eggcellent Cafe,Breakfast/Brunch,Yes,Yes,$$,4.7,
Ekta Indian Cuisine,Indian,Yes,Yes,$,4.5,
El Chingon ,Mexican,Yes,Yes,$$,3.8,
El Fuerte de Loreto Philly,Mexican,Yes,Yes,$$,4.1,
El Mezcal Catina ,Mexican,Yes,Yes,$$,4.1,
El Purpecheua ,Mexican,Yes,Yes,$$,4.2,
El Ray,Mexican,No,Yes,$$,4.1,
El Techo,Cocktails,Yes,Yes,$$,4.6,
El Vez,Mexican,Yes,Yes,$$,3.8,
Elixr Coffee Roasters,Coffeeshop,No,Yes,$$,4,
Ember & Ash,American,Yes,Yes,$$$,4.1,
Emei,Chinese,Yes,Yes,$$,4.3,
Emmy Squared Pizza,Pizza,Yes,Yes,$$,4.3,
Enswell,American,No,No,$$,4.3,
Essen Bakery,Breakfast/Brunch,Yes,Yes,$$,4,
Evil Genius Beer Company ,Brewery,Yes,Yes,$,4.2,
Famous 4th Street Deli,Sandwiches,Yes,Yes,$$$,3.8,
Fat Salmon Sushi,Japanese,Yes,Yes,$$,4,
Federal Donuts,Breakfast/Brunch,Yes,Yes,$,4.3,
Fergie's Pub,Dive Bar,Yes,Yes,$,4.4,
Fette Sau,Barbeque,Yes,Yes,$$$,4.2,
Fiorella Pasta,Italian ,No,Yes,$$,3.9,
Fitzwater Bagels,Bakery,Yes,Yes,$,4.1,
Fitzwater Cafe,Breakfast/Brunch,No,No,$,4.5,
Fork,American,Yes,Yes,$$$,3.8,
Forsythia,French,Yes,Yes,$$$$,4.1,
Fountain Porter,Dive Bar,No,Yes,$,4.5,
Frangelli's Bakery & Donuts,Bakery,Yes,Yes,$,4.1,
Frankford Hall,Brewery,Yes,Yes,$$,4.6,
Frankford Tiki Bar,Dive Bar,No,No,$,4.4,
Franklin's Table Food Hall,American,Yes,Yes,$,4.4,
Friday Saturday Sunday,American,No,No,$$$,3.8,
Front Street Cafe,Brunch,No,No,$$,4,
Fu-Wah Mini Market,Sandwiches,Yes,Yes,$,4.1,
Function Coffee Labs,Coffeeshop,No,Yes,$,4.1,
Gabriella's Vietnam ,Vietnamese,No,Yes,$$$,3.9,
Garage Bar,Dive Bar,No,Yes,$,3.9,
Giorgio On Pine,Italian ,No,No,$$,4.5,
Giuseppe & Sons ,Italian ,No,No,$$,4.4,
Glory Beer Bar & Kitchen ,Gastropub,Yes,Yes,$$,3.9,
Gojjo,Ethiopian,Yes,Yes,$$,4.2,
Goldie,Mediterranean,No,Yes,$,4.2,
Good Dog Bar,Gastropub,Yes,Yes,$$,3.8,
Gooey Looies,Sandwiches,No,No,$,4,
Grace & Proper,Gastropub,No,No,$$,4.1,
Graffiti Bar,Cocktails,No,No,$$,3.8,
Gran Caffe L'Aquila,Italian,Yes,Yes,$$,4.1,
Grape Room,Dive Bar,No,No,$,3.9,
Hadramount ,Mediterranean,Yes,Yes,$,4,
Hale & True Cider Co. ,Cocktails,No,No,$$,4.1,
Han Dynasty - Old City,Chinese,Yes,Yes,$$,3.9,
Hardena,Asian ,No,No,$,4.5,
Harp & Crown,Gastropub,No,No,$$$,4.4,
Hatch & Coop,Sandwiches,Yes,Yes,$,4.3,
Haven Cafe,Breakfast/Brunch,Yes,Yes,$,4.1,
Healthy Picks ,Bodega/Late Night,Yes,Yes ,$,4.3,
Hearthside,American,No,Yes,$$,4,
Helm ,American,No,No,$$$,4,
Her Place Supper Club,French,No,No,$$$$,4.5,
Hi-Lo Taco Co.,Mexican,Yes,Yes,$$,4.3,
Hibachi Japanese Steakhouse & Sushi Bar,Japanese,No,No,$$,4.1,
HipCityVeg,Vegan,Yes,Yes,$,4,
Hive,Coffeeshop,No,Yes,$$,4.3,
Honey's Sit 'n Eat,Brunch,No,No,$$,3.9,
Howl at the Moon,Dive Bar,No,No,$,4.2,
Huda,Sandwiches,Yes,Yes,$,4.1,
ICI Macaraons & Cafe,Coffeeshop,Yes,Yes,$$,4.6,
Il Ghiottone,Italian ,Yes,Yes,$,3.8,
Illata,Italian ,No,No,$$,4,
In Riva,Pizza,No,No,$,4.4,
Independence Beer Garden,Brewery,No,No,$$,4.3,
Irwin's ,Italian ,No,No,$$$,4.1,
Isgro's,Bakery,Yes,Yes,$$,4,
Ishkabibble's II,Cheesesteaks,No,Yes,$,4.4,
J'aime French Bakery,Coffeeshop,No,Yes,$,4.1,
J'aime French Cafe,Coffeeshop,No,Yes,$,4.3,
Jean-Georges Philadelphia,American,No,No,$$$$,3.9,
Jeni's Splendid Ice Creams,Ice Cream,Yes,Yes,$$,3.9,
Jet Wine Bar,Cocktails,No,Yes,$$,4.1,
Jim's South Street,Cheesesteaks,Yes,Yes,$,4.3,
JJ Thai Cuisine,Thai,No,Yes,$$,4,
John's Roast Pork,Sandwiches,Yes,Yes,$$,4.5,
John's Water Ice,Water Ice,No,No,$,4.1,
K'Far Cafe ,Breakfast/Brunch,No,Yes,$,4.2,
Kabobeesh,Mediterranean,Yes,Yes,$,4.4,
Kalaya,Thai,No,Yes,$$$,4,
Kampar,Asian ,No,Yes,$$,4.6,
Kanella,Mediterranean,Yes,Yes,$$,4.1,
Kei Sushi Restaurant,Japanese,Yes,Yes,$,3.8,
Kensington Quarters,American,Yes,Yes,$$$,4.1,
Khyber Pass Pub,Gastropub,Yes,Yes,$$,4.1,
Kichi Omakase,Japanese,No,No,$$$,4.4,
Kilamandjaro/Youma ,West African,Yes,Yes,$$,4.4,
Kismet Bagels,Bakery,Yes,Yes,$$,4.5,
Kura Revolving Sushi,Japanese,Yes,Yes,$$,4,
L'Anima BYOB,Italian ,No,Yes,$$,4.2,
La Catrachita Food Truck ,Bodega/Late Night,Yes,Yes,$,4.3,
La Chinesca,Mexican,Yes,Yes,$$,3.9,
La Chingonita,Mexican,Yes,Yes,$,4.1,
La Cocina Del Cafe,Mexican,Yes,Yes,$$,4.5,
La Colombe Coffee Roasters,Coffeeshop,No,No,$$,4.2,
La Marqueza ,Mexican,Yes,Yes,$,4.2,
Larry's Steaks,Cheesesteaks,Yes,Yes,$,3.9,
Laser Wolf,Mediterranean,No,No,$$$$,4,
Latin Spot,Mexican,Yes,Yes,$,3.9,
Lau Kee,Chinese,Yes,Yes,$$,4.3,
Laurel ,French,No,No,$$$,4.1,
Le Caveau,Cocktails,No,No,$$,4,
Le Virtu ,Italian,No,Yes,$$$,4.1,
Libertee Grounds,Brewery,Yes,Yes,$$,4.1,
Liberty Point,American,No,Yes,$$,4.1,
Lily's Ferry,Mediterranean,Yes,Yes,$$,4.2,
Little Delicious,Caribbean,No,No,$,4.4,
Little Fish,American,No,No,$$$,4,
Little Nonna's ,Italian ,Yes,Yes,$$,3.8,
LMNO,Mexican,Yes,Yes,$$,3.9,
Local 44 Restaurant & Bar ,Dive Bar,No,No,$,4.4,
Loco Pez,Mexican,Yes,Yes,$$,4.3,
Los Camaradas,Mexican,Yes,Yes,$,4,
Los Gallos,Mexican,Yes,Yes,$$,4.5,
Lost Bread Co.,Bakery,No,No,$$,4.1,
Louie Louie,French,Yes,Yes,$$$,4.5,
Lover City Brewing,Brewery,No,No,$$,4,
Luke's Lobster RittenHouse,American,Yes,Yes,$$,4.3,
Mabu Kitchen,Brunch,Yes,Yes,$$,4.1,
Machi Sushi Bar,Japanese,Yes,Yes,$,4.2,
Machine Shop,Coffeeshop,No,No,$,3.7,
Mainstay Independent Brewing Company,Brewery,No,No,$$,4,
Makkah Market,Mediterranean,Yes,Yes,$,4.3,
Malbec Argentine Steakhouse,Steakhouse ,Yes,Yes,$$$,3.9,
Manakeesh Cafe Bakery & Grill,Mediterranean,Yes,Yes,$,4.6,
Marrakesh,Mediterranean,No,No,$$,3.9,
Mawn,Asian ,No,Yes,$$$,3.8,
Max's Steaks,Cheesesteaks,No,Yes,$,4,
Mexican Grill La Guera 2 ,Mexican,Yes,Yes,$$,4.3,
Mexico Lindo Y Que Rico Restaurant,Mexican,Yes,Yes ,$$,4.3,
Middle Child ,Sandwiches,Yes,Yes,$$,4,
Middle Child Outpost,Breakfast/Brunch,Yes,Yes,$$,4.1,
Mighty Bread Company,Sandwiches,No,No,$$,4,
Mike's BBQ,Barbeque,Yes,Yes,$$$,4.3,
Milk Jawn,Ice Cream,No,Yes,$$,4.3,
MilkBoy,Gastropub,Yes,Yes,$$,4.5,
Mish Mish,American,No,Yes,$$$,4.2,
Mission Taqueria,Mexican,Yes,Yes,$$,3.9,
Mixto Restaurante,Latin,Yes,Yes,$$$,4,
Mole Poblano Restaurant,Mexican,Yes,Yes,$$,4.1,
Mom-Mom's Kitchen,Polish,Yes,Yes,$,4.5,
Monk's Cafe,Gastropub,No,Yes,$$,4.6,
Monster Vegan,Vegan,Yes,Yes,$$,4.4,
Moore Brothers Wine,Wine,No,No,$$$,4.2,
Morgan's Pier ,Brewery,No,Yes,$,3.8,
Morning Glory Diner,Breakfast/Brunch,No,Yes,$$,4.5,
Moshulu,American,Yes,Yes,$$$$,4.1,
Mr. Platano's Restaurant,Latin,No,Yes,$,4,
Mulherin's Pizza,Pizza,Yes,Yes,$$,4.3,
Murph's Bar,Italian ,No,Yes,$,4.1,
Musette,Coffeeshop,No,Yes,$$,4.1,
My Loup,American,No,No,$$$,4,
Nan Zhou Hand Drawn Noodle House,Chinese,Yes,Yes,$$,3.9,
Night Owls Fast Food,Bodega/Late Night,Yes,Yes,$,4,
Ninja Bao,Asian,Yes,Yes,$$,4,
Nook Bakery & Coffee Bar,Coffeeshop,Yes,Yes,$,4.4,
North Third,American,No,Yes,$$,4.4,
Ocho Rios Parilla,Caribbean,Yes,Yes,$,3.9,
OK Hot Chicken,Sandwiches,Yes,Yes,$$,4.4,
Old City Beer Garden,Brewery,No,Yes,$$,4,
Oloroso ,Spanish,Yes,Yes,$$,4.1,
One Shot Coffee,Coffeeshop,Yes,Yes,$$,3.9,
Osteria,Italian ,No,Yes,$$$,3.9,
Paesano's ,Sandwiches,Yes,Yes,$$$,3.9,
Pagano's Market and Bar,Italian ,No,Yes,$$,3.9,
Papi Store,Sandwiches,No,No,$,4.5,
Parc,French,Yes,Yes,$$$,4,
Paulie Gee's Soul City Slice Shop,Pizza,Yes,Yes,$$$,4.3,
Pentridge Station ,Brewery,No,Yes,$,3.8,
Pera Turkish Cuisine,Mediterranean,Yes,Yes,$$$,3.9,
Perla ,Latin,Yes,Yes,$$$,3.8,
Philadelphia Distilling,Distillery,No,No,$$,4,
Pho 75,Vietnamese,No,Yes,$,4.1,
Pho Cali,Vietnamese,Yes,Yes,$,3.9,
Pho Ha Saigon ,Vietnamese,Yes,Yes,$,4.5,
Pho Mi Rittenhouse ,Vietnamese,Yes,Yes,$,4.1,
PHS Pop Up Garden,Cocktails,No,Yes,$$,4.5,
Pizza Plus South,Pizza,Yes,Yes,$$,4.2,
PIZZA Shackamaxon ,Pizza,No,Yes,$$,4.2,
Pizzata Pizzeria,Pizza,Yes,Yes,$,4,
Pizzeria Beddia,Pizza,Yes,Yes,$$,4.7,
Poe's Sandwich Joint,Sandwiches,Yes,Yes,$$,4.1,
Postiano Coast,Italian,Yes,Yes,$$$,4.4,
Pumpkin BYOB,American,No,No,$$$,4.4,
Quality Taste Jamaican Restaurant & Jerk Hut,Caribbean,Yes,Yes,$,4.1,
Queen of Sheba,Ethiopian,No,Yes,$,4.3,
R&D Cocktail Club,Cocktails,No,Yes,$$,4.5,
Raising Canes,Fast Food,No,Yes,$,4.5,
Randazzo's,Pizza,Yes,Yes,$,4.6,
Ratchada Thai,Thai,Yes,Yes,$$,3.9,
Reading Terminal Market,American,No,No,$$,4.2,
Reanimator Coffee,Coffeeshop,No,Yes,$,4,
Redcrest Kitchen,Breakfast/Brunch,Yes,Yes,$$,4.1,
Reggae Reggae Vibes,Caribbean,Yes,Yes,$,4.3,
Renata's Kitchen,Mediterranean,Yes,Yes,$$,4.3,
Restaurant Taqueria El Jarocho,Mexican,No,Yes,$,3.8,
Rex at the Royal,American,No,Yes,$$$,3.8,
Ricci's Hoagies,Sandwiches,Yes,Yes,$,4.5,
Rittenhouse Hotel,Cocktails,No,No,$$,4.3,
Roberts Block Restaurant,American,No,Yes,$$,4,
Rodin Museum (Friday Bar),Cocktails,No,No,$$,4.5,
Rose Bank Winery,Vineyard,No,Yes,$$,4,
Rosy's Taco Bar,Mexican,Yes,Yes,$$,4,
Royal Boucherie,French,No,No,$$$,3.8,
Royal Sushi & Izakaya,Japanese,Yes,Yes,$$,4.5,
Royal Tavern,Dive Bar,No,Yes,$$,4.1,
Saad's Halal ,Mediterranean,Yes,Yes,$,4.3,
Sabrina's Cafe South Street,Breakfast/Brunch,Yes,Yes,$$,4.1,
Sagami Japanese ,Japanese,No,Yes,$$,3.9,
SALLY Philadelphia,Pizza,No,Yes,$$,4.1,
Saloon,Italian,Yes,Yes ,$$$,3.9,
Salt & Vinegar,Sandwiches,No,No,$$$,4,
Sampan,Asian ,No,Yes,$$,3.9,
Sang Kee Noodle House,Chinese,Yes,Yes,$$,3.9,
Sang Kee Peking Duck House,Chinese,Yes,Yes,$$,4.1,
Sarcone's,Bakery,Yes,Yes,$,4.5,
Sassafras,Gastropub,No,Yes,$$,4.3,
Schlesinger's ,Sandwiches,Yes,Yes,$$,4.6,
Seaforest Bakeshop,Bakery,No,Yes,$$,4,
Shing Kee,Chinese,No,Yes,$$,4.2,
Sidecar Bar & Grille ,Gastropub,Yes,Yes,$$,3.8,
Silk City,Brunch,No,Yes,$,4.4,
Sky Cafe,Asian ,No,Yes,$,4.6,
Small Oven/ Porcos Porchetteria,Bakery,Yes,Yes,$$,4.9,
Sofi's Corner Cafe,French,No,Yes,$$,4.3,
Solar Myth ,Cocktails,No,No,$$,4.2,
Sophie's Kitchen,Asian ,Yes,Yes,$,4.1,
South Philly Barbacoa,Mexican,Yes,Yes,$,4.1,
SOUTH Restaurant & Jazz Club,American,No,No,$$$,4,
SouthGate,Korean,Yes,Yes,$$,4.5,
Spread Bagelry,Bakery,Yes,Yes,$,4.6,
SQ Philip's Steaks,Bodega/Late Night,Yes,Yes,$,4.2,
Square Pie,Pizza,Yes,Yes,$$,4.4,
St. Oner's ,Gastropub,No,Yes,$$,4.6,
Steve's Prince of Steaks,Cheesesteaks,No,Yes,$,4.5,
Stina Pizzeria,Mediterranean,Yes,Yes,$$,4.5,
Stratus,Cocktails,Yes,No,$$$,3.9,
Sulimay's Restauraunt,Breakfast/Brunch,No,No,$,4.4,
Superfolie,Cocktails,No,No,$$$,3.9,
Suprema Coffee Roastery,Coffeeshop,No,Yes,$$,4.4,
Suraya Restaurant,Mediterranean,No,Yes,$$,4.3,
Sushi and Poke,Japanese,Yes,Yes,$,4.6,
Tabachoy,Filipino,No,Yes,$$,4.3,
Taco Heart,Mexican,Yes,Yes ,$$,4.1,
Tacos Don Memo,Mexican,No,No,$,4.4,
Talula's Daily,American,Yes,Yes,$$,4.2,
Talula's Garden,American,No,No,$$$,4.3,
Tamalex,Mexican,Yes,Yes,$$,4.3,
Taqueria La Prima,Mexican,No,Yes,$,4.3,
Tatooed Mom,Dive Bar,Yes,Yes,$,4.4,
Terakawan Ramen,Asian ,Yes,Yes,$$,4.5,
Termini Bros Bakery,Bakery,Yes,Yes,$$,4.1,
The daily.,Coffeeshop,No,Yes,$$,4.1,
The Dandelion,Gastropub,Yes,Yes,$$,4.2,
The Dutch,Breakfast/Brunch,No,Yes,$$,3.9,
The Franklin Fountain,Ice Cream,Yes,Yes,$$,4.4,
The Franklin Mortgage & Investment,Cocktails,No,No,$$$,4.5,
The Good King Tavern,Gastropub,Yes,Yes,$$,3.9,
The Ground Rittenhouse,Coffeeshop,Yes,Yes,$$,4.3,
The Jug Handle Inn,Dive Bar,No,Yes,$,4.5,
The Last Drop Coffee House,Coffeeshop,No,Yes,$,4,
The Love,American,No,No,$$$$,4.1,
The Morris ,Gastropub,Yes,Yes,$$$,4,
The Palace of Indian,Indian,Yes,Yes,$,3.9,
The Plough & The Stars,Gastropub,Yes,Yes,$$,3.8,
The Post ,Dive Bar,Yes,Yes,$$,4.4,
The Pub on Passyunk East,Dive Bar,No,Yes,$$,4.3,
The Ranstead Room,Cocktails,No,No,$$,3.9,
The Trestle Inn,Dive Bar,No,No,$,4,
The Victor Cafe,Italian ,No,Yes,$$$,4.4,
Time,Cocktails,Yes,Yes,$$,3.9,
Tio Flores,Mexican,Yes,Yes,$$,4.3,
Tired Hands Fermentaria Tap Room,Brewery,No,Yes,$$,4,
Tony and Nick's Steaks,Cheesesteaks,Yes,Yes,$,3.8,
Trattoria Carina,Italian ,Yes,Yes,$$$,4,
Triangle Tavern,Dive Bar,Yes,Yes,$$,4.2,
Twisted Tail,Gastropub,Yes,Yes,$$,4.3,
Ultimo Coffee,Coffeeshop,No,Yes,$$,4.1,
Umai Umai,Japanese,No,Yes,$$,4.3,
Uni Japanese Cuisine,Japanese ,Yes,Yes,$$,3.8,
Union Tap House,Dive Bar,No,No,$,4.1,
Uzbekistan Restaurant,Uzbeki,No,Yes,$$,3.9,
Vedge,Vegan,No,No,$$$,4.3,
Vernick Coffee Bar,Coffeeshop,No,Yes,$$,4.2,
Vernick Food & Drink,American,No,No,$$$$,4.6,
Vesper Center City,Club,No,Yes,$$$,4.4,
Vetri Cucina,Italian ,No,No,$$$$,4.3,
Via Locusta,Italian ,No,No,$$,4.2,
Vibrant Coffee Roasters & Bakery,Coffeeshop,Yes,Yes,$$,4,
Vic Sushi Bar,Japanese,Yes,Yes,$$,3.9,
Victory Brewing Company,Brewery,No,Yes,$$,4.4,
Vientiane Cafe,Asian ,Yes,Yes,$$,4.6,
Viet Bistro 2 LLC,Vietnamese,Yes,Yes,$,4.5,
Village Whiskey,Gastropub,Yes,Yes,$$,4.2,
Virasat Haveli,Indian,Yes,Yes,$$,4.4,
Wah-Gi-Wah,Mediterranean,Yes,Yes,$$,4.4,
Weckerly's Ice Cream,Ice Cream,Yes,Yes,$,4,
White Dog Cafe,American,Yes,Yes,$$$,4.2,
Wilder,American,Yes,Yes,$$,4,
Winkel,Brunch,No,Yes,$$,3.9,
Wm. Mulherin's Sons,Italian ,Yes,Yes,$$$,4,
Woodrow's Sandwich Shop,Sandwiches,Yes,Yes,$$,4.3,
Woody's,Club,No,No,$$,4.5,
Writer's Block Rehab,Cocktails,No,No,$$,4.4,
Xing Wang,Chinese ,Yes,Yes,$,4.6,
Yakitori Boy,Japanese,Yes,Yes,$$,3.6,
Yards Brewing Company,Brewery,Yes,Yes,$$,4.3,
Yi Pin Restaurant,Chinese,Yes,Yes,$$,4.3,
Young American Hard Cider & Tasting Room,Cocktails,No,Yes,$,4.2,
Zahav,Mediterranean,No,No,$$$,4.5,
Zama,Japanese,Yes,No,$$,4.1,
Zig Zag BBQ,Barbeque,Yes,Yes,$$,4.6,
Zio's Brick Oven Pizza,Pizza,Yes,Yes,$,4.1,
Chick-fil-A,Fast Food,Yes,Yes,$,4.3,
McDonald's,Fast Food,Yes,Yes,$,4.4,
Subway,Fast Food,Yes,Yes,$,3.8,
Dunkin',Coffee/Donuts,Yes,Yes,$,4.6,
Crown Fried Chicken,Fast Food,Yes,Yes,$,4,
Pelicana,Fast Food,Yes,Yes,$$,4.5,
Axis Pizza,Pizza,Yes,Yes,$,4.3,
Donut Plus,Donuts,No,Yes,$,4.1,
Raising Cane's,Chicken Fingers,Yes,Yes,$,4.1,
Goldie,Vegan Falafel,Yes,Yes,$,4.2,