Code,Course,Course Quality,Instructor Quality,Difficulty,Work Required
CIS5000,Software Foundations,3.01,3.4,3.11,3.15
CIS501,Computer Architecture,2.8,2.99,2.94,2.96
CIS5020,Analysis of Algorithms,2.87,2.98,3.52,3.16
CIS5030,Algorithms for Big Data,N/A,N/A,N/A,N/A
CIS5050,Software Systems,2.92,3.04,2.93,3.15
CIS510,Int To Geomet Meth In Cs,2.82,3.26,2.66,2.37
CIS5110,Theory of Computation,2.91,3.27,3.24,2.95
CIS5120,Introduction to HCI,2.92,3.32,1.82,2.52
CIS5150,Fund of Lin Alg&Opt,2.32,2.75,3.27,3.2
CIS518,Fin Model Th & Desc Comp,3.27,3.5,3.31,2.04
CIS5190,Applied Machine Learning,2.39,2.58,3.13,3.11
CIS520,Intro Artificial Intell,3.01,3.28,2.99,3.17
CIS5200,Machine Learning,2.8,2.87,3.26,3.31
CIS5210,Artificial Intelligence,2.99,3.1,2.59,2.67
CIS5220,Deep Learning/Data Sci,2.34,2.66,2.3,2.61
CIS5230,Ethical Algorithm Design,2.65,3.18,1.85,1.84
CIS526,Machine Translation,3.08,3.36,2.74,2.75
CIS530,Computational Linguistcs,2.97,3.17,2.41,2.18
CIS5300,Natural Language Processing,2.71,2.8,2.45,2.59
CIS534,Multicore Prog & Arch,2.66,2.69,2.51,2.95
CIS5350,Intro To Bioinformatics,N/A,N/A,N/A,N/A
CIS5360,Fundmtl of Comptnl Biol,2.61,2.98,2.57,2.26
CIS5370,Biomed Image Analysis,2.99,3.09,3.01,3.02
CIS540,Prin Of Embedded Systems,2.36,2.8,2.44,2.33
CIS5410,Embedded Software,1.67,1.86,2.4,2.48
CIS542,Embedded Systems Prog,2.66,3,2.13,2.48
CIS5450,Big Data Analytics,2.66,2.93,2.4,2.56
CIS5470,Software Analysis,3.06,3.41,2.65,2.7
CIS5480,Os Design and Implement,3.47,3.58,2.99,3.25
CIS5490,Wireless Comm Mobile Net,2.83,3.32,3.02,3
CIS5500,Database & Info Systems,2.63,2.8,2.6,2.78
CIS5510,Comp & Network Sec,2.83,3.04,2.82,2.71
CIS552,Data Mgmt/Mobile Comput,3.67,3.67,2.67,2.83
CIS5520,Advanced Programming,3.14,3.38,3,2.84
CIS5521,Compilers & Interpreters,N/A,N/A,N/A,N/A
CIS5530,Networked Systems,2.74,2.97,2.83,2.82
CIS554,Programming Paradigms,2.47,2.41,2.31,2.63
CIS5550,Internet & Web Systems,3.16,3.23,3.63,3.86
CIS5560,Cryptography,2.89,3,3.17,2.7
CIS5570,Programming For the Web,2.1,2.18,2.63,2.92
CIS558,Cmp Anl & Mod Of Bio Sig,3.25,3.39,2.76,2.67
CIS5590,Programming & Prob Solv,3.56,3.72,1.87,2.3
CIS560,Computer Graphics,2.8,3.09,2.87,3.21
CIS5600,Interactve Comp Graphics,3.22,3.24,3.33,3.6
CIS561,3D Comp Mdl & Anm Appl,2.21,2.75,2.4,2.87
CIS5610,Advanced Rendering,2.91,3.2,3.16,3.22
CIS562,Computer Animation,3.14,3.25,3.38,3.37
CIS5620,Computer Animation,2.82,2.94,3.1,2.94
CIS563,Physically Based Animation,2.94,3.01,3.1,2.99
CIS5640,Game Dsgn & Development,3.15,3.33,2.62,3.05
CIS5650,Gpu Programming&Arch,3.34,3.37,3.47,3.62
CIS5660,Procedural Comp Graphics,3.26,3.49,2.53,2.85
CIS5680,Game Design Practicum,2.76,2.97,2.39,2.93
CIS5690,GPU Computing for ML Systems,N/A,N/A,N/A,N/A
CIS570,Prog Lang Implementation,3.17,3.46,2.72,2.74
CIS571,Recursion Theory,3.33,3.67,3.83,3.5
CIS5710,Comp Org and Design,2.37,2.57,3.19,3.13
CIS5730,Software Engineering,3.11,3.51,2.01,2.33
CIS575,Image Proc & Comp VIsion,3.33,3.58,3,3
CIS5800,Machine Perception,2.57,2.67,2.92,2.7
CIS5810,Comp Vision&Cmptnl Photo,2.71,2.93,2.81,2.81
CIS582,Logic In Computer Scienc,2.6,2.6,3,2.2
CIS590,"Computers,Ethics&Society",2.95,3.05,1.5,1.46
CIS5970,Master's Thesis Research,N/A,N/A,N/A,N/A
CIS5990,Master's Indep Study,N/A,N/A,N/A,N/A
CIS6010,Adv Topics in Comp Arch,N/A,N/A,N/A,N/A
CIS6100,Adv Geometric Meth in Cs,N/A,N/A,N/A,N/A
CIS6200,Adv Top in Mach Learning,N/A,N/A,N/A,N/A
CIS6250,Thry of Machine Learning,N/A,N/A,N/A,N/A
CIS6300,Natural Lang Processng,N/A,N/A,N/A,N/A
CIS635,Adv Computational Biol,2.96,3.36,2.69,2.72
CIS640,Advance Topics in Software Systems: Data Driven IoT/Edge Computing,N/A,N/A,N/A,N/A
CIS6500,Adv Tpcs in Databases,N/A,N/A,N/A,N/A
CIS6600,Adv Tpcs in Comp Graphcs,N/A,N/A,N/A,N/A
CIS6700,Adv Tpcs/Program Lang,N/A,N/A,N/A,N/A
CIS6730,Comp Aided Verif,N/A,N/A,N/A,N/A
CIS6770,Adv Tpcs/Algorth & Compl,N/A,N/A,N/A,N/A
CIS6800,Adv Tpc in Mach Percept,N/A,N/A,N/A,N/A
CIS6820,Friendly Logics,N/A,N/A,N/A,N/A
CIS7000,CisTopics,N/A,N/A,N/A,N/A
CIS7980,Explaining Explanation,3.8,3.8,2.1,2.7
CIS8000,PhD Special Topics,N/A,N/A,N/A,N/A
CIS8100,Writing and Speaking,N/A,N/A,N/A,N/A
CIS8950,Teaching Practicum,N/A,N/A,N/A,N/A
CIS8990,IS: Special Research,N/A,N/A,N/A,N/A
CIS9900,Masters Reg,N/A,N/A,N/A,N/A
CIS9950,Dissertation,N/A,N/A,N/A,N/A
CIS9990,Master's Thesis,N/A,N/A,N/A,N/A
CIS9999,Independent Study Research,N/A,N/A,N/A,N/A