Course, Prerequisite
CIS5000, []
CIS5010, []
CIS5020, []
CIS5050, []
CIS5110, []
CIS5120, []
CIS5150, []
CIS5180, []
CIS5190, [CIS1210]
CIS5200, []
CIS5210, []
CIS5220, []
CIS5230, [CIS1210]
CIS5260, []
CIS5300, []
CIS5350, [BIOL4210, BIOL5210, BIOL5240]
CIS5360, [BIOL1101, BIOL1102, STAT111, STAT112]
CIS5370, [MATH2410]
CIS5400, [ESE2100, CIS2620]
CIS5410, [CIS2400]
CIS5420, []
CIS5450, []
CIS5470, [CIS1200, CIS1210, CIS1600]
CIS5480, []
CIS5490, []
CIS5500, [CIS1600, CIS1210]
CIS5510, [CIS1600, CIS2400]
CIS5520, []
CIS5530, [CIS1210]
CIS5540, [CIS1210]
CIS5550, []
CIS5560, []
CIS5570, []
CIS5590, []
CIS5600, []
CIS5610, []
CIS5620, []
CIS5630, [CIS4610, CIS5610]
CIS5640, []
CIS5650, [CIS4600, CIS5600]
CIS5660, [CIS4600, CIS5600]
CIS5670, [MATH2400]
CIS5680, [CIS4600, CIS5600]
CIS5690, [CIT5930, CIT5940, CIT5950, CIT5960]
CIS5710, [CIS2400]
CIS5730, [CIS3500]
CIS5800, []
CIS5810, []
CIS6010, [CIS5710, CIS4710]
CIS6100, []
CIS6200, [CIS5200]
CIS6250, []
CIS6300, [CIS5300]
CIS6400, [CIS5450, CIS5190, CIS5050, CIS5410]
CIS6500, [CIS5500, CIS4500]
CIS6600, [CIS5600]
CIS6700, [CIS5000]
CIS6730, [CIS2620, CIS3800]
CIS6770, []
CIS6800, []
CIS6820, []
CIS7000, []
CIS7980, []
CIS8000, []
CIS8100, []
CIS8950, []
CIS8990, []
CIS9900, []
CIS9950, []
CIS9990, []
CIS9999, []